,CPI,3M BILL,5YR INTERPOLATION,5.25 YR,10YR BOND,24M CPI (Ann.),5YR Real Yield,5.25YR Real Yield,10YR Real Yield,
12/1/1998,100.3817765,0.175,0.856594872,0.889705128,1.5188,1.19%,-0.3305,-0.2974,0.3317,
1/1/1999,99.87274116,0.175,1.124787179,1.172012821,2.0693,0.98%,0.1421,0.1893,1.0866,
2/1/1999,99.46551285,0.074,1.090338462,1.142661538,2.1368,0.88%,0.2088,0.2611,1.2553,
3/1/1999,99.56731993,0.074,0.889523077,0.931276923,1.7246,0.88%,0.0089,0.0507,0.8440,
4/1/1999,100.0763553,0.074,0.799589744,0.836610256,1.54,0.15%,0.6466,0.6837,1.3871,
5/1/1999,100.0763553,0.033,0.683297436,0.717002564,1.3574,0.05%,0.6324,0.6661,1.3065,
6/1/1999,99.77093408,0.042,0.844707692,0.886292308,1.6764,-0.10%,0.9466,0.9882,1.7783,
7/1/1999,99.36370578,0.047,0.86265641,0.90484359,1.7064,-0.10%,0.9650,1.0071,1.8087,
8/1/1999,99.669127,0.031,0.945235897,0.992864103,1.8978,0.00%,0.9452,0.9929,1.8978,
9/1/1999,99.97454823,0.021,0.874358974,0.918941026,1.766,-0.20%,1.0774,1.1220,1.9690,
10/1/1999,100.1781624,0.058,0.910182051,0.954117949,1.7889,-0.25%,1.1633,1.2072,2.0420,
11/1/1999,99.56731993,0.074,0.934051282,0.978148718,1.816,-0.20%,1.1379,1.1820,2.0199,
12/1/1999,99.2618987,0.41,1.123364103,1.154435897,1.7448,-0.26%,1.3788,1.4099,2.0002,
1/1/2000,99.16009163,0.068,0.885279487,0.927220513,1.7241,-0.26%,1.1410,1.1829,1.9798,
2/1/2000,98.8546704,0.05,0.927064103,0.972435897,1.8345,-0.36%,1.2856,1.3310,2.1930,
3/1/2000,99.05828455,0.115,0.96484359,1.00775641,1.8231,-0.46%,1.4241,1.4671,2.2824,
4/1/2000,99.2618987,0.059,0.898474359,0.941725641,1.7635,-0.46%,1.3568,1.4001,2.2219,
5/1/2000,99.36370578,0.037,0.86344359,0.90635641,1.7217,-0.56%,1.4222,1.4652,2.2805,
6/1/2000,99.16009163,0.092,0.889051282,0.929548718,1.699,-0.46%,1.3479,1.3884,2.1578,
7/1/2000,98.8546704,0.172,0.956951282,0.995548718,1.7289,-0.31%,1.2645,1.3031,2.0364,
8/1/2000,99.16009163,0.326,1.080323077,1.114876923,1.7714,-0.10%,1.1828,1.2174,1.8739,
9/1/2000,99.05828455,0.346,1.151338462,1.188261538,1.8898,-0.56%,1.7119,1.7488,2.4503,
10/1/2000,99.05828455,0.364,1.140246154,1.175353846,1.8424,-0.91%,2.0526,2.0877,2.7547,
11/1/2000,98.75286332,0.384,1.117528205,1.150071795,1.7684,-1.02%,2.1328,2.1653,2.7837,
12/1/2000,98.8546704,0.747,1.295902564,1.312997436,1.6378,-0.76%,2.0595,2.0766,2.4014,
1/1/2001,98.8546704,0.344,0.984851282,1.013148718,1.5508,-0.51%,1.4958,1.5241,2.0618,
2/1/2001,98.54924917,0.212,0.840533333,0.870266667,1.4352,-0.46%,1.3022,1.3319,1.8969,
3/1/2001,98.4474421,0.06,0.622374359,0.651025641,1.1954,-0.56%,1.1863,1.2150,1.7594,
4/1/2001,98.54924917,0.031,0.68225641,0.71604359,1.358,-0.77%,1.4482,1.4819,2.1239,
5/1/2001,98.65105625,0.007,0.630546154,0.663253846,1.2847,-0.71%,1.3452,1.3779,1.9994,
6/1/2001,98.4474421,0.02,0.598728205,0.628871795,1.2016,-0.67%,1.2642,1.2944,1.8671,
7/1/2001,98.14202087,0.034,0.670079487,0.703020513,1.3289,-0.62%,1.2867,1.3197,1.9456,
8/1/2001,98.4474421,0.013,0.673861538,0.708438462,1.3654,-0.61%,1.2886,1.3232,1.9802,
9/1/2001,98.34563502,0.008,0.690210256,0.725989744,1.4058,-0.82%,1.5082,1.5440,2.2238,
10/1/2001,98.34563502,0.014,0.674869231,0.709430769,1.3661,-0.92%,1.5937,1.6283,2.2850,
11/1/2001,97.83659964,0.018,0.665307692,0.699092308,1.341,-0.87%,1.5382,1.5720,2.2139,
12/1/2001,97.73479257,0.033,0.681251282,0.714848718,1.3532,-0.77%,1.4535,1.4871,2.1254,
1/1/2002,97.53117842,0.004,0.692951282,0.729148718,1.4169,-0.82%,1.5177,1.5539,2.2417,
2/1/2002,97.02214304,0.002,0.723625641,0.761574359,1.4826,-0.93%,1.6548,1.6928,2.4138,
3/1/2002,97.22575719,0.002,0.709594872,0.746805128,1.4538,-0.93%,1.6389,1.6761,2.3831,
4/1/2002,97.53117842,0.002,0.685528205,0.721471795,1.4044,-0.88%,1.5612,1.5971,2.2800,
5/1/2002,97.83659964,0.004,0.682428205,0.718071795,1.3953,-0.77%,1.4538,1.4895,2.1667,
6/1/2002,97.73479257,0.012,0.667494872,0.701805128,1.3537,-0.72%,1.3888,1.4231,2.0750,
7/1/2002,97.32756427,0.008,0.643197436,0.676502564,1.3093,-0.78%,1.4186,1.4519,2.0847,
8/1/2002,97.63298549,0.002,0.616982051,0.649317949,1.2637,-0.77%,1.3900,1.4223,2.0367,
9/1/2002,97.63298549,0.002,0.570846154,0.600753846,1.169,-0.72%,1.2929,1.3228,1.8910,
10/1/2002,97.42937134,0.009,0.545892308,0.574007692,1.1082,-0.83%,1.3715,1.3996,1.9338,
11/1/2002,97.42937134,0.014,0.497682051,0.522917949,1.0024,-0.67%,1.1700,1.1953,1.6748,
12/1/2002,97.42937134,0.005,0.476774359,0.501525641,0.9718,-0.72%,1.2003,1.2250,1.6953,
1/1/2003,97.12395011,0.004,0.416525641,0.438174359,0.8495,-0.88%,1.2958,1.3174,1.7288,
2/1/2003,96.81852889,0.002,0.394535897,0.415164103,0.8071,-0.88%,1.2765,1.2972,1.6891,
3/1/2003,97.12395011,0.016,0.370205128,0.388594872,0.738,-0.67%,1.0447,1.0631,1.4125,
4/1/2003,97.42937134,0.012,0.330561538,0.347138462,0.6621,-0.57%,0.9004,0.9169,1.2319,
5/1/2003,97.63298549,0.006,0.284566667,0.299133333,0.5759,-0.52%,0.8019,0.8165,1.0932,
6/1/2003,97.32756427,0.007,0.274758974,0.288741026,0.5544,-0.57%,0.8452,0.8591,1.1248,
7/1/2003,97.12395011,0.012,0.489917949,0.514882051,0.9892,-0.52%,1.0099,1.0349,1.5092,
8/1/2003,97.32756427,0.018,0.569187179,0.597912821,1.1437,-0.57%,1.1396,1.1683,1.7141,
9/1/2003,97.42937134,0.034,0.731951282,0.768148718,1.4559,-0.47%,1.1989,1.2351,1.9228,
10/1/2003,97.42937134,0.013,0.694274359,0.729925641,1.4073,-0.47%,1.1612,1.1969,1.8742,
11/1/2003,96.92033596,0.004,0.678920513,0.714379487,1.3881,-0.47%,1.1483,1.1837,1.8575,
12/1/2003,97.02214304,0.003,0.660082051,0.694617949,1.3508,-0.37%,1.0253,1.0599,1.7161,
1/1/2004,96.81852889,0.006,0.651266667,0.685133333,1.3286,-0.37%,1.0173,1.0511,1.6946,
2/1/2004,96.81852889,0.004,0.609205128,0.640994872,1.245,-0.10%,0.7142,0.7460,1.3500,
3/1/2004,97.02214304,0.012,0.668128205,0.702471795,1.355,-0.10%,0.7729,0.8072,1.4598,
4/1/2004,97.02214304,0.012,0.742423077,0.780676923,1.5075,-0.26%,1.0037,1.0420,1.7688,
5/1/2004,97.12395011,0.005,0.732007692,0.770192308,1.4957,-0.36%,1.0969,1.1351,1.8606,
6/1/2004,97.32756427,0.015,0.869871795,0.914628205,1.765,-0.21%,1.0784,1.1232,1.9736,
7/1/2004,97.02214304,0.005,0.878892308,0.924807692,1.7972,-0.16%,1.0359,1.0818,1.9542,
8/1/2004,97.12395011,0.01,0.813825641,0.855974359,1.6568,-0.26%,1.0749,1.1170,1.9178,
9/1/2004,97.42937134,0.008,0.74214359,0.78065641,1.5124,-0.10%,0.8465,0.8850,1.6167,
10/1/2004,97.93840672,0.004,0.731682051,0.769917949,1.4964,0.26%,0.4708,0.5090,1.2355,
11/1/2004,97.73479257,0.001,0.716869231,0.754530769,1.4701,0.16%,0.5603,0.5979,1.3135,
12/1/2004,97.22575719,0.003,0.685853846,0.721746154,1.4037,-0.10%,0.7904,0.8263,1.5082,
1/1/2005,97.02214304,0.001,0.670587179,0.705812821,1.3751,-0.05%,0.7230,0.7582,1.4275,
2/1/2005,96.71672181,0.002,0.680948718,0.716651282,1.395,-0.05%,0.7335,0.7692,1.4476,
3/1/2005,97.02214304,0.008,0.714715385,0.751784615,1.4561,-0.05%,0.7671,0.8042,1.5085,
4/1/2005,97.12395011,0,0.643369231,0.677230769,1.3206,-0.16%,0.8002,0.8341,1.4775,
5/1/2005,97.22575719,0,0.619205128,0.651794872,1.271,-0.21%,0.8280,0.8606,1.4798,
6/1/2005,96.81852889,0,0.608487179,0.640512821,1.249,-0.26%,0.8703,0.9024,1.5108,
7/1/2005,96.71672181,0,0.615892308,0.648307692,1.2642,-0.21%,0.8258,0.8582,1.4741,
8/1/2005,96.81852889,0.001,0.690951282,0.727248718,1.4169,-0.26%,0.9528,0.9891,1.6787,
9/1/2005,97.12395011,0,0.674646154,0.710153846,1.3848,-0.16%,0.8315,0.8670,1.5417,
10/1/2005,97.12395011,0,0.750305128,0.789794872,1.5401,-0.16%,0.9072,0.9467,1.6970,
11/1/2005,96.71672181,0,0.743533333,0.782666667,1.5262,-0.11%,0.8486,0.8878,1.6313,
12/1/2005,96.81852889,0.003,0.754546154,0.794053846,1.5447,-0.10%,0.8595,0.8990,1.6497,
1/1/2006,96.92033596,0.004,0.721451282,0.759148718,1.4754,0.05%,0.6689,0.7066,1.4228,
2/1/2006,96.61491474,0.035,0.790689744,0.829910256,1.5751,-0.11%,0.8959,0.9351,1.6803,
3/1/2006,96.81852889,0.069,0.874302564,0.915597436,1.7002,-0.10%,0.9793,1.0206,1.8052,
4/1/2006,97.02214304,0.032,0.952917949,1.000882051,1.9122,0.00%,0.9529,1.0009,1.9122,
5/1/2006,97.32756427,0.239,1.096179487,1.137520513,1.923,0.10%,0.9914,1.0328,1.8182,
6/1/2006,97.32756427,0.34,1.142320513,1.179179487,1.8795,0.00%,1.1423,1.1792,1.8795,
7/1/2006,97.02214304,0.356,1.173107692,1.210492308,1.9208,0.00%,1.1731,1.2105,1.9208,
8/1/2006,97.73479257,0.373,1.141666667,1.176233333,1.833,0.31%,0.8277,0.8623,1.5190,
9/1/2006,97.73479257,0.338,1.047546154,1.079553846,1.6877,0.16%,0.8909,0.9229,1.5311,
10/1/2006,97.53117842,0.372,1.106702564,1.139497436,1.7626,-0.21%,1.3148,1.3476,1.9707,
11/1/2006,97.02214304,0.448,1.131402564,1.160297436,1.7093,-0.37%,1.4967,1.5255,2.0746,
12/1/2006,97.12395011,0.419,1.083423077,1.111776923,1.6505,-0.05%,1.1358,1.1641,1.7029,
1/1/2007,96.92033596,0.427,1.118961538,1.148638462,1.7125,-0.05%,1.1714,1.2011,1.7650,
2/1/2007,96.41130059,0.523,1.183546154,1.210053846,1.7137,-0.16%,1.3416,1.3681,1.8717,
3/1/2007,96.71672181,0.586,1.185694872,1.208005128,1.6319,-0.16%,1.3432,1.3655,1.7894,
4/1/2007,97.02214304,0.58,1.205712821,1.229487179,1.6812,-0.05%,1.2581,1.2819,1.7336,
5/1/2007,97.32756427,0.561,1.192607692,1.216992308,1.6803,0.05%,1.1403,1.1646,1.6280,
6/1/2007,97.12395011,0.633,1.344717949,1.372182051,1.894,0.16%,1.1871,1.2146,1.7364,
7/1/2007,97.02214304,0.672,1.371984615,1.398215385,1.8966,0.16%,1.2142,1.2404,1.7388,
8/1/2007,97.53117842,0.686,1.274771795,1.294928205,1.6779,0.37%,0.9074,0.9276,1.3105,
9/1/2007,97.53117842,0.549,1.156497436,1.179802564,1.6226,0.21%,0.9471,0.9704,1.4132,
10/1/2007,97.73479257,0.587,1.204192308,1.227407692,1.6685,0.31%,0.8902,0.9134,1.3545,
11/1/2007,97.63298549,0.557,1.1136,1.1341,1.5236,0.47%,0.6410,0.6615,1.0510,
12/1/2007,97.73479257,0.553,1.117558974,1.138541026,1.5372,0.47%,0.6455,0.6665,1.0651,
1/1/2008,97.63298549,0.543,1.065779487,1.084720513,1.4446,0.37%,0.6988,0.7177,1.0776,
2/1/2008,97.42937134,0.562,1.083464103,1.102035897,1.4549,0.42%,0.6629,0.6814,1.0343,
3/1/2008,97.83659964,0.623,1.05334359,1.06615641,1.3096,0.52%,0.5290,0.5418,0.7852,
4/1/2008,97.73479257,0.584,1.082687179,1.099712821,1.4232,0.37%,0.7161,0.7331,1.0566,
5/1/2008,98.54924917,0.584,1.201120513,1.224379487,1.6663,0.63%,0.5755,0.5987,1.0406,
6/1/2008,99.05828455,0.597,1.257092308,1.282407692,1.7634,0.89%,0.3719,0.3972,0.8782,
7/1/2008,99.2618987,0.582,1.174989744,1.197010256,1.6154,1.15%,0.0273,0.0493,0.4677,
8/1/2008,99.56731993,0.576,1.100251282,1.118748718,1.4702,0.93%,0.1671,0.1856,0.5371,
9/1/2008,99.56731993,0.639,1.151117949,1.167982051,1.4884,0.93%,0.2180,0.2348,0.5553,
10/1/2008,99.46551285,0.635,1.160387179,1.178012821,1.5129,0.99%,0.1736,0.1912,0.5261,
11/1/2008,98.54924917,0.446,1.015728205,1.038671795,1.4746,0.78%,0.2318,0.2548,0.6907,
12/1/2008,98.14202087,0.357,0.881807692,0.903792308,1.3215,0.52%,0.3591,0.3810,0.7988,
1/1/2009,97.63298549,0.241,0.773782051,0.798017949,1.2585,0.37%,0.4068,0.4310,0.8915,
2/1/2009,97.32756427,0.248,0.796523077,0.821476923,1.2956,0.47%,0.3225,0.3474,0.8215,
3/1/2009,97.63298549,0.272,0.820171795,0.844728205,1.3113,0.47%,0.3476,0.3722,0.8387,
4/1/2009,97.73479257,0.212,0.8399,0.8696,1.4339,0.37%,0.4733,0.5030,1.0673,
5/1/2009,97.53117842,0.198,0.83855641,0.86914359,1.4503,0.10%,0.7340,0.7646,1.3458,
6/1/2009,97.32756427,0.158,0.8248,0.8574,1.4768,0.10%,0.7200,0.7526,1.3720,
7/1/2009,97.02214304,0.165,0.769884615,0.799115385,1.3545,0.00%,0.7699,0.7991,1.3545,
8/1/2009,97.32756427,0.144,0.769574359,0.800225641,1.3826,-0.10%,0.8740,0.9047,1.4870,
9/1/2009,97.32756427,0.151,0.746130769,0.775069231,1.3249,-0.10%,0.8506,0.8795,1.4293,
10/1/2009,96.92033596,0.15,0.750384615,0.779615385,1.335,-0.42%,1.1679,1.1972,1.7525,
11/1/2009,96.71672181,0.154,0.764012821,0.793687179,1.3575,-0.47%,1.2344,1.2640,1.8278,
12/1/2009,96.51310766,0.121,0.702161538,0.730838462,1.2757,-0.63%,1.3291,1.3578,1.9027,
1/1/2010,96.61491474,0.116,0.729276923,0.759723077,1.3382,-0.52%,1.2520,1.2825,1.8609,
2/1/2010,96.61491474,0.118,0.732412821,0.762887179,1.3419,-0.42%,1.1513,1.1817,1.7608,
3/1/2010,96.81852889,0.119,0.740484615,0.771315385,1.3571,-0.52%,1.2621,1.2930,1.8788,
4/1/2010,96.81852889,0.118,0.742546154,0.773553846,1.3627,-0.47%,1.2124,1.2434,1.8326,
5/1/2010,96.81852889,0.112,0.700887179,0.730112821,1.2854,-0.88%,1.5829,1.6121,2.1674,
6/1/2010,96.61491474,0.116,0.671058974,0.698441026,1.2187,-1.24%,1.9121,1.9394,2.4597,
7/1/2010,96.10587936,0.112,0.614997436,0.639702564,1.1091,-1.60%,2.2176,2.2423,2.7117,
8/1/2010,96.20768643,0.105,0.553720513,0.575679487,0.9929,-1.70%,2.2553,2.2773,2.6945,
9/1/2010,96.41130059,0.11,0.595346154,0.619153846,1.0715,-1.60%,2.1930,2.2168,2.6691,
10/1/2010,96.71672181,0.107,0.507505128,0.526894872,0.8953,-1.39%,1.8990,1.9184,2.2868,
11/1/2010,96.41130059,0.118,0.585187179,0.607912821,1.0397,-1.09%,1.6758,1.6986,2.1304,
12/1/2010,96.20768643,0.13,0.669479487,0.695820513,1.1963,-0.99%,1.6599,1.6862,2.1867,
1/1/2011,96.10587936,0.108,0.664069231,0.691630769,1.2153,-0.79%,1.4492,1.4768,2.0004,
2/1/2011,96.10587936,0.116,0.702433333,0.731466667,1.2831,-0.63%,1.3320,1.3611,1.9127,
3/1/2011,96.30949351,0.114,0.688189744,0.716610256,1.2566,-0.68%,1.3683,1.3967,1.9367,
4/1/2011,96.41130059,0.103,0.689382051,0.718617949,1.2741,-0.68%,1.3688,1.3980,1.9535,
5/1/2011,96.41130059,0.104,0.625838462,0.651661538,1.1423,-0.58%,1.2016,1.2274,1.7181,
6/1/2011,96.30949351,0.092,0.61525641,0.64134359,1.137,-0.52%,1.1396,1.1657,1.6614,
7/1/2011,96.30949351,0.097,0.611233333,0.636766667,1.1219,-0.37%,0.9792,1.0047,1.4898,
8/1/2011,96.41130059,0.095,0.566930769,0.590269231,1.0337,-0.47%,1.0388,1.0621,1.5055,
9/1/2011,96.41130059,0.094,0.556812821,0.579687179,1.0143,-0.47%,1.0286,1.0515,1.4861,
10/1/2011,96.51310766,0.102,0.562048718,0.584651282,1.0141,-0.21%,0.7724,0.7950,1.2244,
11/1/2011,95.90226521,0.102,0.55274359,0.57485641,0.995,-0.42%,0.9747,0.9968,1.4169,
12/1/2011,96.00407228,0.1,0.56105641,0.58374359,1.0148,-0.26%,0.8251,0.8478,1.2789,
1/1/2012,96.20768643,0.101,0.546182051,0.568017949,0.9829,-0.21%,0.7572,0.7790,1.1939,
2/1/2012,96.41130059,0.103,0.544397436,0.566002564,0.9765,-0.11%,0.6498,0.6714,1.0819,
3/1/2012,96.81852889,0.102,0.560635897,0.583164103,1.0112,0.00%,0.5606,0.5832,1.0112,
4/1/2012,96.92033596,0.1,0.536405128,0.557794872,0.9642,0.05%,0.4838,0.5052,0.9116,
5/1/2012,96.61491474,0.1,0.488125641,0.506974359,0.8651,-0.11%,0.5933,0.6122,0.9703,
6/1/2012,96.10587936,0.099,0.478933333,0.497366667,0.8476,-0.26%,0.7427,0.7611,1.1114,
7/1/2012,95.80045813,0.099,0.445512821,0.462187179,0.779,-0.16%,0.6045,0.6212,0.9380,
8/1/2012,96.00407228,0.099,0.458715385,0.476084615,0.8061,-0.11%,0.5646,0.5820,0.9120,
9/1/2012,96.10587936,0.098,0.45634359,0.47365641,0.8026,-0.16%,0.6149,0.6322,0.9611,
10/1/2012,96.10587936,0.099,0.443125641,0.459674359,0.7741,-0.32%,0.7594,0.7760,1.0904,
11/1/2012,95.80045813,0.099,0.429971795,0.445828205,0.7471,-0.32%,0.7473,0.7631,1.0644,
12/1/2012,95.80045813,0.094,0.423617949,0.439482051,0.7409,-0.21%,0.6355,0.6513,0.9528,
1/1/2013,95.90226521,0.096,0.442733333,0.459466667,0.7774,-0.11%,0.5487,0.5655,0.8834,
2/1/2013,95.69865106,0.077,0.415694872,0.432305128,0.7479,-0.21%,0.6278,0.6444,0.9600,
3/1/2013,95.90226521,0.042,0.325179487,0.339420513,0.61,-0.21%,0.5368,0.5511,0.8216,
4/1/2013,96.20768643,0.088,0.341474359,0.353425641,0.5805,-0.11%,0.4471,0.4591,0.6862,
5/1/2013,96.30949351,0.094,0.443592308,0.460507692,0.7819,-0.05%,0.4964,0.5133,0.8347,
6/1/2013,96.30949351,0.094,0.478230769,0.496969231,0.853,0.00%,0.4782,0.4970,0.8530,
7/1/2013,96.51310766,0.094,0.466684615,0.484815385,0.8293,0.11%,0.3610,0.3792,0.7236,
8/1/2013,96.81852889,0.088,0.428679487,0.445220513,0.7595,0.21%,0.2177,0.2342,0.5485,
9/1/2013,97.12395011,0.023,0.370194872,0.388105128,0.7284,0.37%,0.0013,0.0192,0.3595,
10/1/2013,97.22575719,0.072,0.359551282,0.373548718,0.6395,0.37%,-0.0090,0.0050,0.2710,
11/1/2013,97.22575719,0.058,0.338282051,0.352117949,0.615,0.69%,-0.3494,-0.3355,-0.0727,
12/1/2013,97.32756427,0.057,0.365628205,0.380971795,0.6725,0.69%,-0.3213,-0.3060,-0.0144,
1/1/2014,97.22575719,0.058,0.364297436,0.379502564,0.6684,0.53%,-0.1634,-0.1482,0.1407,
2/1/2014,97.22575719,0.054,0.330110256,0.343789744,0.6037,0.42%,-0.0914,-0.0777,0.1822,
3/1/2014,97.42937134,0.033,0.324051282,0.338848718,0.62,0.31%,0.0091,0.0239,0.3050,
4/1/2014,99.46551285,0.064,0.343694872,0.357405128,0.6179,1.30%,-0.9608,-0.9471,-0.6866,
5/1/2014,99.87274116,0.039,0.317576923,0.331623077,0.5985,1.67%,-1.3544,-1.3404,-1.0735,
6/1/2014,99.77093408,0.024,0.30504359,0.31945641,0.5933,1.89%,-1.5839,-1.5695,-1.2956,
7/1/2014,99.87274116,0.026,0.283966667,0.297133333,0.5473,2.10%,-1.8193,-1.8061,-1.5560,
8/1/2014,100.0763553,0.029,0.270133333,0.282366667,0.5148,2.10%,-1.8287,-1.8165,-1.5841,
9/1/2014,100.2799695,0.003,0.265320513,0.279079487,0.5405,2.15%,-1.8832,-1.8694,-1.6080,
10/1/2014,99.97454823,-0.004,0.236587179,0.249312821,0.4911,1.99%,-1.7563,-1.7435,-1.5018,
11/1/2014,99.669127,-0.014,0.219835897,0.232364103,0.4704,2.00%,-1.7793,-1.7668,-1.5287,
12/1/2014,99.669127,-0.006,0.182638462,0.192661538,0.3831,2.00%,-1.8165,-1.8065,-1.6160,
1/1/2015,99.56731993,-0.005,0.128935897,0.136064103,0.2715,1.89%,-1.7640,-1.7568,-1.6214,
2/1/2015,99.36370578,0.004,0.185797436,0.195302564,0.3759,1.90%,-1.7111,-1.7016,-1.5210,
3/1/2015,99.669127,0.016,0.195453846,0.204646154,0.3793,1.94%,-1.7495,-1.7403,-1.5657,
4/1/2015,100.1781624,-0.006,0.156476923,0.165123077,0.3294,2.04%,-1.8862,-1.8775,-1.7132,
5/1/2015,100.4835836,0.001,0.196512821,0.206787179,0.402,2.14%,-1.9475,-1.9372,-1.7420,
6/1/2015,100.1781624,-0.001,0.227820513,0.239879487,0.469,1.99%,-1.7609,-1.7488,-1.5197,
7/1/2015,100.0763553,-0.003,0.212748718,0.224151282,0.4408,1.83%,-1.6165,-1.6051,-1.3885,
8/1/2015,100.1781624,-0.006,0.184538462,0.194661538,0.387,1.72%,-1.5357,-1.5256,-1.3332,
9/1/2015,100.2799695,-0.035,0.153269231,0.163730769,0.3625,1.61%,-1.4585,-1.4480,-1.2492,
10/1/2015,100.2799695,-0.004,0.152938462,0.161261538,0.3194,1.56%,-1.4056,-1.3973,-1.2391,
11/1/2015,99.87274116,-0.086,0.095105128,0.105994872,0.3129,1.35%,-1.2570,-1.2461,-1.0392,
12/1/2015,99.87274116,-0.021,0.1323,0.1407,0.3003,1.30%,-1.1668,-1.1584,-0.9988,
1/1/2016,99.46551285,-0.021,0.095225641,0.101674359,0.2242,1.15%,-1.0500,-1.0436,-0.9211,
2/1/2016,99.56731993,-0.107,-0.060566667,-0.056433333,0.0221,1.20%,-1.2576,-1.2535,-1.1749,
3/1/2016,99.669127,-0.104,-0.096469231,-0.094430769,-0.0557,1.14%,-1.2394,-1.2373,-1.1986,
4/1/2016,99.87274116,-0.204,-0.177946154,-0.173353846,-0.0861,0.20%,-0.3824,-0.3779,-0.2906,
5/1/2016,99.97454823,-0.273,-0.231351282,-0.224848718,-0.1013,0.05%,-0.2823,-0.2758,-0.1523,
6/1/2016,99.87274116,-0.244,-0.237594872,-0.233405128,-0.1538,0.05%,-0.2886,-0.2844,-0.2048,
7/1/2016,99.669127,-0.269,-0.300689744,-0.298110256,-0.2491,-0.10%,-0.1987,-0.1961,-0.1471,
8/1/2016,99.669127,-0.228,-0.191412821,-0.185887179,-0.0809,-0.20%,0.0123,0.0178,0.1228,
9/1/2016,99.77093408,-0.329,-0.238138462,-0.228161538,-0.0386,-0.25%,0.0160,0.0260,0.2155,
10/1/2016,100.3817765,-0.257,-0.199102564,-0.191997436,-0.057,0.20%,-0.4026,-0.3955,-0.2605,
11/1/2016,100.3817765,-0.287,-0.195815385,-0.186484615,-0.0092,0.36%,-0.5527,-0.5434,-0.3661,
12/1/2016,100.1781624,-0.412,-0.245484615,-0.230215385,0.0599,0.26%,-0.5005,-0.4853,-0.1951,
1/1/2017,99.97454823,-0.261,-0.142869231,-0.132530769,0.0639,0.20%,-0.3472,-0.3368,-0.1404,
2/1/2017,99.87274116,-0.31,-0.163892308,-0.151307692,0.0878,0.26%,-0.4197,-0.4071,-0.1680,
3/1/2017,99.87274116,-0.223,-0.113005128,-0.103694872,0.0732,0.10%,-0.2151,-0.2058,-0.0289,
4/1/2017,100.2799695,-0.131,-0.072133333,-0.066966667,0.0312,0.05%,-0.1229,-0.1178,-0.0196,
5/1/2017,100.3817765,-0.125,-0.063407692,-0.058192308,0.0409,-0.05%,-0.0127,-0.0075,0.0916,
6/1/2017,100.2799695,-0.085,-0.028507692,-0.024192308,0.0578,0.05%,-0.0793,-0.0750,0.0070,
7/1/2017,100.0763553,-0.111,-0.034782051,-0.029017949,0.0805,0.00%,-0.0348,-0.0290,0.0805,
8/1/2017,100.2799695,-0.178,-0.097474359,-0.090425641,0.0435,0.05%,-0.1483,-0.1412,-0.0073,
9/1/2017,100.5853907,-0.145,-0.084194872,-0.078705128,0.0256,0.15%,-0.2364,-0.2309,-0.1266,
10/1/2017,100.5853907,-0.175,-0.084512821,-0.076987179,0.066,0.15%,-0.2367,-0.2292,-0.0862,
11/1/2017,100.8908119,-0.223,-0.130007692,-0.121592308,0.0383,0.51%,-0.6384,-0.6300,-0.4701,
12/1/2017,101.1962331,-0.163,-0.084697436,-0.078002564,0.0492,0.66%,-0.7451,-0.7384,-0.6112,
1/1/2018,101.2980402,-0.139,-0.055202564,-0.048597436,0.0769,0.92%,-0.9722,-0.9656,-0.8401,
2/1/2018,101.2980402,-0.176,-0.084838462,-0.077261538,0.0667,0.87%,-0.9502,-0.9426,-0.7987,
3/1/2018,100.992619,-0.14,-0.071702564,-0.065897436,0.0444,0.66%,-0.7335,-0.7277,-0.6174,
4/1/2018,100.8908119,-0.12,-0.059051282,-0.053948718,0.043,0.51%,-0.5674,-0.5623,-0.4654,
5/1/2018,101.0944261,-0.13,-0.063623077,-0.058076923,0.0473,0.56%,-0.6221,-0.6166,-0.5112,
6/1/2018,100.992619,-0.115,-0.056984615,-0.052115385,0.0404,0.56%,-0.6161,-0.6112,-0.5187,
7/1/2018,100.992619,-0.165,-0.084471795,-0.077628205,0.0524,0.66%,-0.7462,-0.7394,-0.6094,
8/1/2018,101.6034614,-0.14,-0.043007692,-0.035692308,0.1033,0.97%,-1.0087,-1.0014,-0.8624,
9/1/2018,101.7052685,-0.11,-0.016235897,-0.009564103,0.1172,0.96%,-0.9810,-0.9743,-0.8475,
10/1/2018,102.0106897,-0.295,-0.128217949,-0.114782051,0.1405,0.81%,-0.9363,-0.9229,-0.6676,
11/1/2018,101.8070756,-0.275,-0.130620513,-0.118679487,0.1082,0.71%,-0.8381,-0.8261,-0.5992,
12/1/2018,101.5016544,-0.15,-0.079733333,-0.073666667,0.0416,0.66%,-0.7381,-0.7321,-0.6168,
1/1/2019,101.5016544,-0.24,-0.156394872,-0.148205128,0.0074,0.76%,-0.9172,-0.9091,-0.7535,
2/1/2019,101.5016544,-0.18,-0.130717949,-0.125282051,-0.022,0.81%,-0.9429,-0.9375,-0.8342,
3/1/2019,101.5016544,-0.17,-0.133210256,-0.128589744,-0.0408,0.81%,-0.9454,-0.9408,-0.8530,
4/1/2019,101.8070756,-0.16,-0.125861538,-0.121538462,-0.0394,0.76%,-0.8844,-0.8801,-0.7979,
