Date,SPY,TLT,FrankZ
6/24/2009,0.008617538,-0.010034569,-0.000861754
6/25/2009,0.02174901,0.018332696,-0.002174901
6/26/2009,-0.002606227,0.001694446,0.000260623
6/29/2009,0.00936362,0.001479338,-0.000936362
6/30/2009,-0.008090241,-0.001688261,0.000809024
7/1/2009,0.004132681,-0.001983815,-0.001405176
7/2/2009,-0.027293356,0.00233826,0.003898466
7/6/2009,-0.00011152,-0.00190876,-0.000943228
7/7/2009,-0.019376299,0.006693428,0.005284344
7/8/2009,-0.000681436,0.018470379,0.009303333
7/9/2009,0.001931903,-0.011917603,-0.006151992
7/10/2009,-0.002382248,0.009228825,0.004852637
7/13/2009,0.024329979,-0.005610748,-0.005238372
7/14/2009,0.00566051,-0.016616214,-0.008874158
7/15/2009,0.029245754,-0.025718097,-0.015783624
7/16/2009,-0.001608249,0.010799611,0.00556063
7/17/2009,0.010954947,-0.015432206,-0.008811598
7/20/2009,0.010623939,0.005261093,0.001568152
7/21/2009,0.004624619,0.019952093,0.009513584
7/22/2009,-0.00020899,-0.008978707,-0.004468455
7/23/2009,0.022082732,-0.018337138,-0.011376842
7/24/2009,0.004095475,0.004834287,0.002007596
7/27/2009,0.002957703,-0.011481181,-0.006036361
7/28/2009,-0.004677577,0.008849468,0.004892492
7/29/2009,-0.002451752,0.005482509,0.00298643
7/30/2009,0.010445626,0.014176863,0.006043869
7/31/2009,0.00141906,0.019462604,0.009589396
8/3/2009,0.016496215,-0.015155136,-0.00922719
8/4/2009,0.002588555,-0.007951711,-0.004234711
8/5/2009,-0.002879676,-0.014948124,-0.007186094
8/6/2009,-0.00517876,0.003408779,0.002222266
8/7/2009,0.013114318,-0.008329371,-0.005476117
8/10/2009,-0.00207542,0.0124881,0.006451592
8/11/2009,-0.012476273,0.011569255,0.007032255
8/12/2009,0.01072914,-0.010681378,-0.006413603
8/13/2009,0.00763857,0.014178252,0.006325269
8/14/2009,-0.007679374,0.003870854,0.002703364
